INFO 2026-03-05 17:18:54,522 autoreload 449167 133071757922432 Watching for file changes with StatReloader
INFO 2026-03-05 17:19:53,222 views 449167 133071193663168 === INÍCIO DO PROCESSAMENTO DE UPLOAD ===
INFO 2026-03-05 17:19:53,247 views 449167 133071193663168 Arquivo recebido: Reporte de Operações_AAPPSanidad_FEV 26_Précierre.V2.xlsx (tamanho: 12295366 bytes)
INFO 2026-03-05 17:19:53,247 views 449167 133071193663168 Tipo de arquivo validado com sucesso
INFO 2026-03-05 17:19:53,247 views 449167 133071193663168 Salvando arquivo temporariamente em: /opt/analise-indra/media/temp_Reporte de Operações_AAPPSanidad_FEV 26_Précierre.V2.xlsx
INFO 2026-03-05 17:19:53,256 views 449167 133071193663168 Arquivo salvo temporariamente. Tamanho final: 12295366 bytes
INFO 2026-03-05 17:19:53,256 views 449167 133071193663168 Iniciando processamento do arquivo XLS...
INFO 2026-03-05 17:19:53,257 views 449167 133071193663168 === INÍCIO DO PROCESSAMENTO XLS: /opt/analise-indra/media/temp_Reporte de Operações_AAPPSanidad_FEV 26_Précierre.V2.xlsx ===
INFO 2026-03-05 17:19:53,257 views 449167 133071193663168 Lendo aba FC do arquivo Excel...
INFO 2026-03-05 17:20:00,893 views 449167 133071193663168 Arquivo lido com sucesso. Dimensões: 7380 linhas x 136 colunas
INFO 2026-03-05 17:20:00,893 views 449167 133071193663168 Mapeamento de conceitos configurado: 21 conceitos
INFO 2026-03-05 17:20:00,893 views 449167 133071193663168 Limpando dados anteriores...
INFO 2026-03-05 17:20:00,996 views 449167 133071193663168 Dados anteriores removidos: 1 processamentos, 124 projetos, 19344 conceitos
INFO 2026-03-05 17:20:00,996 views 449167 133071193663168 Criando registro de processamento...
INFO 2026-03-05 17:20:00,999 views 449167 133071193663168 Registro de processamento criado: ID 5, arquivo: temp_Reporte de Operações_AAPPSanidad_FEV 26_Précierre.V2.xlsx
INFO 2026-03-05 17:20:00,999 views 449167 133071193663168 Iniciando processamento das linhas do arquivo (a partir da linha 35)...
INFO 2026-03-05 17:20:01,015 views 449167 133071193663168 Salvando projeto: 19AP03 - 13 conceitos
INFO 2026-03-05 17:20:01,442 views 449167 133071193663168 Salvando projeto: 19AP04 - 13 conceitos
INFO 2026-03-05 17:20:01,910 views 449167 133071193663168 Salvando projeto: 25AP38 - 13 conceitos
INFO 2026-03-05 17:20:02,351 views 449167 133071193663168 Salvando projeto: 20AP04 - 13 conceitos
INFO 2026-03-05 17:20:02,807 views 449167 133071193663168 Salvando projeto: 25AP02 - 13 conceitos
INFO 2026-03-05 17:20:03,324 views 449167 133071193663168 Salvando projeto: 20AP09 - 13 conceitos
INFO 2026-03-05 17:20:03,785 views 449167 133071193663168 Salvando projeto: 20AP10 - 13 conceitos
INFO 2026-03-05 17:20:04,244 views 449167 133071193663168 Processadas 100 linhas...
INFO 2026-03-05 17:20:04,245 views 449167 133071193663168 Salvando projeto: 20AP14 - 13 conceitos
INFO 2026-03-05 17:20:04,687 views 449167 133071193663168 Salvando projeto: 25APBR - 13 conceitos
INFO 2026-03-05 17:20:05,154 views 449167 133071193663168 Salvando projeto: 21AP12 - 13 conceitos
INFO 2026-03-05 17:20:05,601 views 449167 133071193663168 Salvando projeto: 21AP13 - 13 conceitos
INFO 2026-03-05 17:20:06,087 views 449167 133071193663168 Salvando projeto: 25APMB - 13 conceitos
INFO 2026-03-05 17:20:06,555 views 449167 133071193663168 Salvando projeto: 21AP15 - 13 conceitos
INFO 2026-03-05 17:20:07,000 views 449167 133071193663168 Salvando projeto: 21AP16 - 13 conceitos
INFO 2026-03-05 17:20:07,462 views 449167 133071193663168 Salvando projeto: 21AP17 - 13 conceitos
INFO 2026-03-05 17:20:07,893 views 449167 133071193663168 Processadas 200 linhas...
INFO 2026-03-05 17:20:07,896 views 449167 133071193663168 Salvando projeto: 22AP02 - 13 conceitos
INFO 2026-03-05 17:20:08,356 views 449167 133071193663168 Salvando projeto: 22AP03 - 13 conceitos
INFO 2026-03-05 17:20:08,812 views 449167 133071193663168 Salvando projeto: 22AP04 - 13 conceitos
INFO 2026-03-05 17:20:09,288 views 449167 133071193663168 Salvando projeto: 22AP05 - 13 conceitos
INFO 2026-03-05 17:20:09,745 views 449167 133071193663168 Salvando projeto: 22AP07 - 13 conceitos
INFO 2026-03-05 17:20:10,209 views 449167 133071193663168 Salvando projeto: 22AP08 - 13 conceitos
INFO 2026-03-05 17:20:10,669 views 449167 133071193663168 Salvando projeto: 22AP09 - 13 conceitos
INFO 2026-03-05 17:20:11,101 views 449167 133071193663168 Processadas 300 linhas...
INFO 2026-03-05 17:20:11,102 views 449167 133071193663168 Salvando projeto: 22AP10 - 13 conceitos
INFO 2026-03-05 17:20:11,587 views 449167 133071193663168 Salvando projeto: 22AP11 - 13 conceitos
INFO 2026-03-05 17:20:12,033 views 449167 133071193663168 Salvando projeto: 22AP15 - 13 conceitos
INFO 2026-03-05 17:20:12,505 views 449167 133071193663168 Salvando projeto: 22AP16 - 13 conceitos
INFO 2026-03-05 17:20:12,961 views 449167 133071193663168 Salvando projeto: 22AP18 - 13 conceitos
INFO 2026-03-05 17:20:13,417 views 449167 133071193663168 Salvando projeto: 22AP20 - 13 conceitos
INFO 2026-03-05 17:20:13,908 views 449167 133071193663168 Salvando projeto: 22AP21 - 13 conceitos
INFO 2026-03-05 17:20:14,395 views 449167 133071193663168 Salvando projeto: 22AP22 - 13 conceitos
